2024-07-27 22:04:10,475 [INFO] NvicIntPanel:101 - NVIC parent = com.st.microxplorer.plugins.ip.nvic.MultiNvicIntPanel[,0,0,0x0,invalid,layout=javax.swing.BoxLayout,alignmentX=0.0,alignmentY=0.0,border=,flags=9,maximumSize=,minimumSize=,preferredSize=]
2024-07-27 22:04:10,575 [INFO] NvicIntPanel:101 - NVIC parent = com.st.microxplorer.plugins.ip.nvic.MultiNvicIntPanel[,0,0,0x0,invalid,layout=javax.swing.BoxLayout,alignmentX=0.0,alignmentY=0.0,border=,flags=9,maximumSize=,minimumSize=,preferredSize=]
2024-07-27 22:04:10,665 [INFO] NvicIntPanel:101 - NVIC parent = com.st.microxplorer.plugins.ip.nvic.MultiNvicIntPanel[,0,0,0x0,invalid,layout=javax.swing.BoxLayout,alignmentX=0.0,alignmentY=0.0,border=,flags=9,maximumSize=,minimumSize=,preferredSize=]
2024-07-27 22:04:10,720 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,720 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,720 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,721 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,721 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,721 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,721 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,722 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,722 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,723 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,723 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,723 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,723 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,723 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,753 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,807 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,808 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,809 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,809 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,809 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,809 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,809 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,809 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,810 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,810 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,810 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,810 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,810 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,810 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:10,842 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,131 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,134 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,135 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,135 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,135 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,135 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,135 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,136 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,136 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,136 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,136 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,136 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,136 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,136 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,172 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,236 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,236 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,236 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,236 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,237 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,237 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,237 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,237 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,237 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,238 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,238 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,238 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,238 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,238 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,266 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,388 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,389 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,389 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,389 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,389 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,389 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,390 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,390 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,390 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,390 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,390 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,390 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,390 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,390 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,420 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,459 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,459 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,459 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,460 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,460 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,460 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,460 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,460 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,460 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,461 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,461 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,461 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,461 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,461 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:38,504 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,122 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,123 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,125 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,125 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,125 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,126 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,126 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,126 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,126 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,126 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,126 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,126 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,127 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,127 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,155 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,196 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,196 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,196 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,196 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,197 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,197 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,197 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,197 [INFO] ADCParametersView:116 -                Rank 1 : false
